Mouse_ID,HI,Sex,infection_status,predicted_weight_loss,IFNy,CXCR3,IL.6,IL.13,IL1RN,CASP1,CXCL9,IDO1,IRGM1,MPO,MUC2,MUC5AC,MYD88,NCR1,PRF1,RETNLB,SOCS1,TICAM1,TNF,hybrid_category,group,UMAP1,UMAP2
AA0280,0.6,F,FALSE,10.0935040465158,-18.5976578970872,-19.4553104368797,-20.9531468756541,-25.3165300099847,-20.564254755586,-22.6382526572541,-23.6574064393899,-19.2269500472531,-22.8047674472263,-20.0665506847928,-21.6373241246997,-20.9820270920649,-16.3599898149466,-19.8291843026825,-20.2718301022009,-20.8772577387568,-21.9658715342825,-24.6600324440931,-20.1988661807832,Hybrid,F_FALSE,-1.2299937840003197,-3.8475301716586543
AA0287,0.9,M,FALSE,12.0032198745486,-18.0743876952946,-17.8577451129749,-14.7963374779032,-22.267332663013,-13.1581407691123,-20.2659944956802,-18.5492735916336,-15.6808247993131,-20.4080969027724,-14.1235246706408,-21.5436578695789,-19.9872257593553,-16.0743332264986,-24.0497880114669,-14.700861557194,-22.1705193474374,-22.2717865195055,-20.5972633808886,-17.9072878718211,Hybrid,M_FALSE,0.847143789510262,-0.6736245618889424
AA0292,0.12,F,FALSE,11.0014025820198,-13.5639080093797,-24.0805280928487,-19.7206582296176,-25.9133122796285,-28.1980581511261,-22.0666162676729,-18.9154970149396,-22.6217093256081,-27.0760441790667,-21.8509716596791,-28.2255222588831,-26.3039296586167,-18.4163049843695,-18.5501817234923,-28.9064727243877,-22.7028743636676,-24.092820513171,-22.4297632976663,-20.3278980538919,Hybrid,F_FALSE,-0.8668267908067773,-4.451320382859607
AA0298,0.76,F,TRUE,10.6478539367167,-19.128607125025,-25.7452535509764,-19.6772901833371,-22.3371123680088,-25.1252692084662,-18.1298214616983,-21.6319118740405,-23.1459576629246,-23.5340693103617,-22.4697349837457,-24.7007717303184,-22.2883652189319,-18.1345269009029,-15.6930764088723,-16.6593451687115,-22.6139617598235,-22.572798605959,-20.9978957204842,-21.4361574064899,Hybrid,F_TRUE,-0.7731556150149095,-4.66614714999726
AA0301,0.782608696,F,FALSE,6.23134546359434,-18.6254091688572,-21.9748796571607,-21.6993451737699,-19.8664195273157,-23.4383232337178,-17.0918337749368,-18.460755818414,-21.0522247784783,-14.2327922159133,-20.0298040085832,-14.9068916707331,-14.3222178651777,-12.9545372506062,-23.1508502668886,-22.9801087134947,-15.8205946359359,-13.697264606551,-21.5152591766481,-21.3837288030469,Hybrid,F_FALSE,1.5578204518446184,2.137846359130065
AA0302,0.388888889,M,FALSE,10.4666158166932,-14.3418079361276,-16.1162139845151,-22.7859949554674,-18.1116602537371,-11.6400798456183,-13.9734013156259,-18.201581845343,-12.8645805650879,-15.1028623741594,-12.4194446109813,-15.1868477586722,-13.9889253733992,-12.6039687146415,-21.6974150741859,-18.1714475629277,-14.3395192353915,-15.3135653330912,-15.3287274647643,-13.6966164793423,Hybrid,M_FALSE,1.6892989737253485,1.2031800841677764
AA0303,0.2,M,TRUE,6.62330708364433,-19.4633281882329,-19.3580504743189,-17.8960500589717,-20.0449827713759,-24.5102489087029,-17.1951876640674,-17.7031493036161,-22.9472861717807,-18.6914917125035,-21.2533584946581,-18.9869557693035,-19.0702298189008,-15.2408294381626,-19.8637982373298,-17.983933323619,-21.3725617484499,-18.3955464699408,-21.5841357976513,-21.5854945984327,Hybrid,M_TRUE,-0.2598983397498657,-2.934292872839016
AA0306,0.263157895,M,FALSE,7.91300368884606,-17.76439016977,-14.2776610916302,-20.8020035456592,-21.5611309283897,-12.589107520393,-15.5847223082587,-18.8418899110543,-15.5678264181809,-13.0016443510751,-12.012735866947,-13.3453346760753,-11.8809924978667,-11.3530729173961,-16.4206301891131,-14.56532301722,-14.2201755123245,-12.7209965304492,-23.0383161102605,-18.8915832418523,Hybrid,M_FALSE,2.7777875154484564,1.5276597891204746
AA0309,0.24,F,TRUE,13.6541245909995,-13.93376742936,-13.2520245698874,-16.7443447031523,-17.7607480617694,-10.7188297373228,-14.0568566346512,-14.3811125594052,-11.7324130846815,-14.3284352334548,-11.7001417211081,-13.9762699307989,-13.2705390882881,-12.1498347339045,-16.4500592635199,-14.3806641388165,-14.4117366528081,-14.6225734819198,-15.4062483175691,-15.5230874190367,Hybrid,F_TRUE,1.4270752056024671,1.6146745659980974
AA0312,0.96,F,TRUE,8.74051451965445,-19.9321683209942,-21.4215912388824,-20.1238935865259,-25.0432511166964,-23.9197640296848,-22.7353053159283,-18.6805803329662,-22.0615959559089,-22.22608665583,-21.3532403338414,-22.2129367478169,-22.3447064330177,-16.6355829827465,-17.8424363528647,-21.4319574172676,-20.7699271792748,-22.4370434527257,-16.8638893735467,-18.5192457030693,M.m.musculus,F_TRUE,-0.6396342954634662,-4.106721174180806
